date_added,company,domain,country,vertical,est_size,fit_score,hook_seed,status,notes,market,segment,locale,team_size,mail_provider,mx_host,dev_team_signal,dev_team_reasons,name_source,source
2026-09-03,Priemiestis,priemiestis.lt,LT,administrative,40,1.0,"Gyventojai ir bendrijos pirmininkai rašo į biurą visą dieną, ir dauguma laiškų yra tie patys keli klausimai apie mokesčius, remontą ir išsikraustymą.",new,MX=priemiestis-lt.mail.protection.outlook.com; size lt headcount on the site; clean; probed 4 pages,lt,housing_admin,lt,25-49,microsoft,priemiestis-lt.mail.protection.outlook.com,0.0,,derived,icp_finder:lt
2026-09-03,Aon Baltic,aon.lt,LT,insurance,,0.75,"Pateikiama žala, o klientas nori atnaujinimo kas antrą dieną ir raštu, kol draudikas neskuba. Su polisų atnaujinimais kas ketvirtį kartojasi tas pats.",new,MX=aon-lt.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 4 pages,lt,insurance,lt,,microsoft,aon-lt.mail.protection.outlook.com,0.0,,derived,icp_finder:lt
2026-09-03,Apskaitos biuras,apskaitosbiuras.lt,LT,accounting,,0.75,"Savaitę prieš deklaravimo terminą tie patys keli klientų klausimai kartojasi vėl ir vėl, ir į kiekvieną vis tiek reikia atsakyti raštu.",new,MX=apskaitosbiuras-lt.mail.protection.outlook.com; size unknown; G4: employee count unknown; probe failed: URLError,lt,accounting,lt,,microsoft,apskaitosbiuras-lt.mail.protection.outlook.com,0.0,,derived,icp_finder:lt
2026-09-03,Gjensidige Lietuva,gjensidige.lt,LT,insurance,,0.75,"Pateikiama žala, o klientas nori atnaujinimo kas antrą dieną ir raštu, kol draudikas neskuba. Su polisų atnaujinimais kas ketvirtį kartojasi tas pats.",new,MX=gjensidige-lt.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 4 pages,lt,insurance,lt,,microsoft,gjensidige-lt.mail.protection.outlook.com,0.0,,derived,icp_finder:lt
2026-09-03,Mano Bustas,manobustas.lt,LT,administrative,,0.75,"Gyventojai ir bendrijos pirmininkai rašo į biurą visą dieną, ir dauguma laiškų yra tie patys keli klausimai apie mokesčius, remontą ir išsikraustymą.",new,MX=manobustas-lt.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 1 pages,lt,housing_admin,lt,,microsoft,manobustas-lt.mail.protection.outlook.com,0.0,,derived,icp_finder:lt
2026-09-03,UAB Buhalterija,uabbuhalterija.lt,LT,accounting,,0.75,"Savaitę prieš deklaravimo terminą tie patys keli klientų klausimai kartojasi vėl ir vėl, ir į kiekvieną vis tiek reikia atsakyti raštu.",new,MX=uabbuhalterija-lt.mail.protection.outlook.com; size unknown; G4: employee count unknown; probe failed: URLError,lt,accounting,lt,,microsoft,uabbuhalterija-lt.mail.protection.outlook.com,0.0,,derived,icp_finder:lt
2026-09-03,Colemont draudimo brokeris,colemont.lt,LT,insurance,,0.55,"Pateikiama žala, o klientas nori atnaujinimo kas antrą dieną ir raštu, kol draudikas neskuba. Su polisų atnaujinimais kas ketvirtį kartojasi tas pats.",new,MX=colemont-lt.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 2 pages,lt,insurance,lt,,microsoft,colemont-lt.mail.protection.outlook.com,0.4,engineering role wording: frontend,derived,icp_finder:lt
